null_limit,korelation_limit,missing_cat,insert_day,insert_Rainfall,tail_len,len_df,norma
0.4,0.87,mode,0,0,2.5,78047,0.47637492581594604
0.4,0.87,mode,1,1,1.5,72153,0.3928476380585808
0.4,0.87,mode,1,1,1.75,74763,0.4136621381721245
0.4,0.87,mode,1,1,2.0,76454,0.42412413346845784
0.4,0.87,mode,1,1,2.25,77375,0.4397366765481414
0.4,0.87,mode,1,1,2.5,78047,0.47637492581594604
0.4,0.87,mode,1,0,1.5,72153,0.3928476380585808
0.4,0.87,mode,1,0,1.75,74763,0.4136621381721245
0.4,0.87,mode,1,0,2.0,76454,0.42412413346845784
0.4,0.87,mode,1,0,2.25,77375,0.4397366765481414
0.4,0.87,mode,1,0,2.5,78047,0.47637492581594604
0.4,0.73,mode,0,1,1.5,72160,0.38143778082802476
0.4,0.73,mode,0,1,1.75,74758,0.408529136239379
0.4,0.73,mode,0,1,2.0,76448,0.4374185453322144
0.4,0.73,mode,0,1,2.25,77369,0.460222116188321
0.4,0.73,mode,0,1,2.5,78041,0.4588404077996359
0.4,0.73,mode,0,0,1.5,72160,0.38143778082802476
0.4,0.73,mode,0,0,1.75,74758,0.408529136239379
0.4,0.73,mode,0,0,2.0,76448,0.4374185453322144
0.4,0.73,mode,0,0,2.25,77369,0.460222116188321
0.4,0.73,mode,0,0,2.5,78041,0.4588404077996359
0.4,0.73,mode,1,1,1.5,72160,0.38143778082802476
0.4,0.73,mode,1,1,1.75,74758,0.408529136239379
0.4,0.73,mode,1,1,2.0,76448,0.4374185453322144
0.4,0.73,mode,1,1,2.25,77369,0.460222116188321
0.4,0.73,mode,1,1,2.5,78041,0.4588404077996359
0.4,0.73,mode,1,0,1.5,72160,0.38143778082802476
0.4,0.73,mode,1,0,1.75,74758,0.408529136239379
0.4,0.73,mode,1,0,2.0,76448,0.4374185453322144
0.4,0.73,mode,1,0,2.25,77369,0.460222116188321
0.4,0.73,mode,1,0,2.5,78041,0.4588404077996359
0.4,0.68,mode,0,1,1.5,75363,0.31718588554445176
0.4,0.68,mode,0,1,1.75,77872,0.3350133460622575
0.4,0.68,mode,0,1,2.0,79423,0.33626784508977753
0.4,0.68,mode,0,1,2.25,80309,0.36815924152494944
0.4,0.68,mode,0,1,2.5,80944,0.36760156889593565
0.4,0.68,mode,0,0,1.5,75363,0.31718588554445176
0.4,0.68,mode,0,0,1.75,77872,0.3350133460622575
0.4,0.68,mode,0,0,2.0,79423,0.33626784508977753
0.4,0.68,mode,0,0,2.25,80309,0.36815924152494944
0.4,0.68,mode,0,0,2.5,80944,0.36760156889593565
0.4,0.68,mode,1,1,1.5,75363,0.31718588554445176
0.4,0.68,mode,1,1,1.75,77872,0.3350133460622575
0.4,0.68,mode,1,1,2.0,79423,0.33626784508977753
0.4,0.68,mode,1,1,2.25,80309,0.36815924152494944
0.4,0.68,mode,1,1,2.5,80944,0.36760156889593565
0.4,0.68,mode,1,0,1.5,75363,0.31718588554445176
0.4,0.68,mode,1,0,1.75,77872,0.3350133460622575
0.4,0.68,mode,1,0,2.0,79423,0.33626784508977753
0.4,0.68,mode,1,0,2.25,80309,0.36815924152494944
0.4,0.68,mode,1,0,2.5,80944,0.36760156889593565
0.4,0.66,mode,0,1,1.5,75925,0.11189966905021113
0.4,0.66,mode,0,1,1.75,78445,0.13198644907785873
0.4,0.66,mode,0,1,2.0,79999,0.1367074682367524
0.4,0.66,mode,0,1,2.25,80886,0.1477138979108067
0.4,0.66,mode,0,1,2.5,81521,0.14095516442130288
0.4,0.66,mode,0,0,1.5,75925,0.11189966905021113
0.4,0.66,mode,0,0,1.75,78445,0.13198644907785873
0.4,0.66,mode,0,0,2.0,79999,0.1367074682367524
0.4,0.66,mode,0,0,2.25,80886,0.1477138979108067
0.4,0.66,mode,0,0,2.5,81521,0.14095516442130288
0.4,0.66,mode,1,1,1.5,75925,0.11189966905021113
0.4,0.66,mode,1,1,1.75,78445,0.13198644907785873
0.4,0.66,mode,1,1,2.0,79999,0.1367074682367524
0.4,0.66,mode,1,1,2.25,80886,0.1477138979108067
0.4,0.66,mode,1,1,2.5,81521,0.14095516442130288
0.4,0.66,mode,1,0,1.5,75925,0.11189966905021113
0.4,0.66,mode,1,0,1.75,78445,0.13198644907785873
0.4,0.66,mode,1,0,2.0,79999,0.1367074682367524
0.4,0.66,mode,1,0,2.25,80886,0.1477138979108067
0.4,0.66,mode,1,0,2.5,81521,0.14095516442130288
0.43,0.87,mode,0,1,1.5,71790,0.43620532881397905
0.43,0.87,mode,0,1,1.75,74400,0.44487721934276625
0.43,0.87,mode,0,1,2.0,76084,0.44593484513179177
0.43,0.87,mode,0,1,2.25,77001,0.46675629705229293
0.43,0.87,mode,0,1,2.5,77673,0.48250348169025115
0.43,0.87,mode,0,0,1.5,71790,0.43620532881397905
0.43,0.87,mode,0,0,1.75,74400,0.44487721934276625
0.43,0.87,mode,0,0,2.0,76084,0.44593484513179177
0.43,0.87,mode,0,0,2.25,77001,0.46675629705229293
